CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL
ABARTH,500E  ,GRN,2023,1
ABARTH,695 CO,BLK,2024,1
ABARTH,695 CO,OGE,2024,3
ABARTH,695 CO,RED,2024,1
ABARTH,695 CO,WHI,2024,2
ACHTNG,VOLKSW,CRM,2024,1
ACHTNG,VOLKSW,WHI,2024,1
AGRIFC,CONDOR,RED,2024,1
AGRIFC,SPRAYR,RED,2024,1
ALFA R,GIULIA,BLK,2024,1
ALFA R,GIULIA,BLU,2024,1
ALFA R,GIULIA,GRY,2024,2
ALFA R,GIULIA,RED,2024,3
ALFA R,GIULIA,WHI,2024,1
ALFA R,STELVI,BLK,2023,1
ALFA R,STELVI,BLK,2024,1
ALFA R,STELVI,GRY,2024,1
ALFA R,STELVI,RED,2024,1
ALFA R,STELVI,WHI,2024,3
ALFA R,TONALE,BLK,2024,1
ALFA R,TONALE,BLU,2024,1
ALFA R,TONALE,WHI,2024,1
AMMANN,AR5130,GRN,2024,1
AMMANN,AR570 ,GRN,2024,1
AMMANN,ARS110,WHI,2024,2
AMMANN,ARS130,GRN,2024,6
AMMANN,ARS150,GRN,2024,3
ANTONI,TRX980,RED,2023,1
APRILI,RS660 ,BLK,2023,1
APRILI,TUO660,BLK,2024,1
APRILI,TUO660,RED,2023,1
ASTON ,DB12  ,GRY,2024,1
ASTON ,DB12 V,BLK,2024,1
ASTON ,DB12 V,GRN,2024,1
ASTON ,DBX 70,BLK,2023,1
ASTON ,DBX 70,GRN,2023,1
ASTON ,VANTAG,BLK,2024,1
ASV   ,RT100 ,OGE,2024,1
AUDI  ,A1    ,BLK,2024,1
AUDI  ,A1    ,GRN,2024,1
AUDI  ,A1    ,RED,2024,1
AUDI  ,A1    ,WHI,2024,1
AUDI  ,A3    ,BLK,2024,9
AUDI  ,A3    ,BLU,2024,5
AUDI  ,A3    ,GRY,2024,11
AUDI  ,A3    ,SIL,2024,5
AUDI  ,A3    ,WHI,2024,17
AUDI  ,A4    ,BLK,2024,1
AUDI  ,A4    ,BLU,2024,1
AUDI  ,A4    ,GRN,2024,1
AUDI  ,A4    ,GRY,2024,2
AUDI  ,A4    ,WHI,2024,3
AUDI  ,A5    ,BLK,2024,5
AUDI  ,A5    ,BLU,2024,1
AUDI  ,A5    ,GRY,2024,4
AUDI  ,A6    ,BLK,2024,3
AUDI  ,A6    ,GRY,2024,2
AUDI  ,A6    ,WHI,2024,1
AUDI  ,ETRON ,GRY,2023,1
AUDI  ,Q2    ,BLK,2024,10
AUDI  ,Q2    ,BLU,2024,1
AUDI  ,Q2    ,GRY,2024,8
AUDI  ,Q2    ,RED,2024,2
AUDI  ,Q2    ,SIL,2024,1
AUDI  ,Q2    ,WHI,2024,11
AUDI  ,Q3    ,BLK,2024,53
AUDI  ,Q3    ,BLU,2024,18
AUDI  ,Q3    ,GRY,2024,33
AUDI  ,Q3    ,RED,2024,4
AUDI  ,Q3    ,SIL,2024,12
AUDI  ,Q3    ,WHI,2024,48
AUDI  ,Q5    ,BLK,2024,23
AUDI  ,Q5    ,BLU,2024,5
AUDI  ,Q5    ,GRN,2024,1
AUDI  ,Q5    ,GRY,2024,13
AUDI  ,Q5    ,SIL,2024,4
AUDI  ,Q5    ,WHI,2024,25
AUDI  ,Q5 E  ,BLK,2024,1
AUDI  ,Q7    ,BLK,2024,2
AUDI  ,Q7    ,GRY,2024,1
AUDI  ,Q7    ,WHI,2024,3
AUDI  ,Q8    ,WHI,2024,1
AUDI  ,Q8 E T,GRY,2023,1
AUDI  ,RS Q8 ,BLK,2024,1
AUDI  ,RS Q8 ,WHI,2024,1
AUDI  ,RS3   ,BLK,2024,3
AUDI  ,RS3   ,GRN,2024,1
AUDI  ,RS3   ,GRY,2024,8
AUDI  ,RS3   ,WHI,2024,2
AUDI  ,RS4   ,BLK,2024,1
AUDI  ,RS5   ,WHI,2024,1
AUDI  ,RS6   ,BLK,2024,3
AUDI  ,RS6   ,GRY,2024,1
AUDI  ,RS6   ,SIL,2024,1
AUDI  ,RSQ3  ,BLK,2024,6
AUDI  ,RSQ3  ,GRN,2024,1
AUDI  ,RSQ3  ,GRY,2024,10
AUDI  ,RSQ3  ,RED,2024,1
AUDI  ,RSQ3  ,WHI,2024,3
AUDI  ,S3    ,BLK,2024,7
AUDI  ,S3    ,BLU,2024,1
AUDI  ,S3    ,GRY,2024,6
AUDI  ,S3    ,WHI,2024,5
AUDI  ,S4    ,BLK,2024,1
AUDI  ,S4    ,GRY,2024,2
AUDI  ,S5    ,BLU,2024,1
AUDI  ,S5    ,GRY,2024,1
AUDI  ,S7    ,GRY,2024,1
AUDI  ,SQ2   ,BLK,2024,2
AUDI  ,SQ2   ,GRY,2024,5
AUDI  ,SQ5   ,BLK,2024,1
AUDI  ,SQ5   ,WHI,2024,2
AUDI  ,SQ7   ,BLK,2024,1
AUDI  ,SQ7   ,BLU,2024,2
AUDI  ,SQ7   ,GRY,2024,3
AUDI  ,SQ8   ,BLK,2024,1
AUDI  ,SQ8   ,WHI,2024,1
AVANT ,225   ,GRN,2023,1
B C I ,PK6120,WHI,2024,1
B C I ,PK6127,WHI,2024,2
B C I ,PK6850,FWN,2024,1
B M C ,X7    ,WHI,2024,1
B M W ,118   ,RED,2024,1
B M W ,118I  ,BLK,2024,7
B M W ,118I  ,BLU,2024,1
B M W ,118I  ,GRY,2024,3
B M W ,118I  ,RED,2024,1
B M W ,118I  ,WHI,2024,1
B M W ,128I  ,BLK,2024,1
B M W ,128TI ,BLK,2024,1
B M W ,128TI ,GRY,2024,4
B M W ,128TI ,RED,2024,1
B M W ,128TI ,WHI,2024,3
B M W ,2 SERI,BLU,2024,1
B M W ,218I  ,GRY,2024,2
B M W ,218I G,WHI,2024,1
B M W ,220I  ,BLK,2024,4
B M W ,220I  ,BLU,2024,2
B M W ,220I  ,GRY,2024,3
B M W ,220I  ,WHI,2024,1
B M W ,220I G,BLU,2024,1
B M W ,220I G,GRY,2024,2
B M W ,230I  ,BLK,2024,3
B M W ,230I  ,GRY,2024,7
B M W ,230I  ,WHI,2024,6
B M W ,240I  ,BLK,2024,1
B M W ,3 SERI,GRY,2024,1
B M W ,330E  ,BLU,2024,1
B M W ,330E  ,GRY,2024,3
B M W ,330E  ,WHI,2024,1
B M W ,330I  ,BLK,2024,11
B M W ,330I  ,BLU,2024,3
B M W ,330I  ,GRY,2024,11
B M W ,330I  ,RED,2023,1
B M W ,330I  ,WHI,2024,13
B M W ,330I T,BLK,2024,1
B M W ,330ITR,BLK,2024,1
B M W ,420I  ,BLK,2024,5
B M W ,420I  ,BLU,2024,2
B M W ,420I  ,GRN,2024,2
B M W ,420I  ,GRY,2024,2
B M W ,420I  ,WHI,2024,3
B M W ,42GM  ,GRY,2024,1
B M W ,430GC ,RED,2024,1
B M W ,430I  ,BLK,2024,5
B M W ,430I  ,BLU,2023,1
B M W ,430I  ,BLU,2024,1
B M W ,430I  ,GRN,2024,1
B M W ,430I  ,GRY,2024,4
B M W ,430I  ,RED,2024,1
B M W ,430I  ,WHI,2024,4
B M W ,520I  ,GRY,2023,1
B M W ,520I  ,GRY,2024,1
B M W ,520I  ,WHI,2023,2
B M W ,520I  ,WHI,2024,1
B M W ,52EE  ,WHI,2024,1
B M W ,530D  ,BLK,2024,6
B M W ,530D  ,BLU,2024,6
B M W ,530D  ,GRY,2024,6
B M W ,530D  ,WHI,2024,10
B M W ,56DP  ,BLK,2024,1
B M W ,740I  ,BLK,2024,2
B M W ,740I  ,GRY,2024,1
B M W ,760I  ,BLK,2023,1
B M W ,840I  ,WHI,2024,1
B M W ,86DP  ,WHI,2024,1
B M W ,C400GT,BLK,2024,1
B M W ,C400GT,WHI,2024,1
B M W ,C400X ,BLK,2024,1
B M W ,F 900 ,BLK,2024,1
B M W ,F 900 ,WHI,2024,2
B M W ,F900 G,WHI,2024,1
B M W ,F900GS,YLW,2024,1
B M W ,G310GS,BLK,2024,3
B M W ,G310GS,WHI,2024,1
B M W ,G310R ,BLK,2024,3
B M W ,G310R ,BLU,2024,3
B M W ,I4    ,BLK,2024,15
B M W ,I4    ,BLU,2024,2
B M W ,I4    ,GRN,2024,4
B M W ,I4    ,GRY,2024,7
B M W ,I4    ,MRN,2024,1
B M W ,I4    ,RED,2024,2
B M W ,I4    ,WHI,2024,10
B M W ,I4 35 ,BLK,2024,2
B M W ,I4 35 ,GRN,2024,2
B M W ,I4 35 ,GRY,2024,2
B M W ,I4 35 ,WHI,2024,2
B M W ,I4 35E,BLK,2024,1
B M W ,I4 E35,BLK,2024,3
B M W ,I4 E35,GRY,2024,3
B M W ,I4 E35,RED,2024,1
B M W ,I4 E35,WHI,2024,4
B M W ,I4 EDR,BLK,2024,1
B M W ,I4 EDR,GRY,2024,3
B M W ,I5    ,BLK,2023,1
B M W ,I5    ,GRY,2024,2
B M W ,I5 40 ,GRY,2023,1
B M W ,I7    ,BLK,2024,2
B M W ,I7 60 ,BLU,2024,1
B M W ,I7 60 ,GRY,2024,1
B M W ,IX    ,BLK,2023,1
B M W ,IX    ,BLK,2024,1
B M W ,IX    ,GRY,2024,4
B M W ,IX    ,WHI,2024,1
B M W ,IX 40 ,BLK,2024,1
B M W ,IX 40 ,GRY,2023,1
B M W ,IX 40 ,GRY,2024,2
B M W ,IX 50 ,WHI,2024,1
B M W ,IX M60,GRY,2024,1
B M W ,IX1   ,BLK,2024,10
B M W ,IX1   ,BLU,2024,6
B M W ,IX1   ,GRN,2024,7
B M W ,IX1   ,GRY,2024,3
